file,average_score,average_time,solution,nodes,edges
Instances/Set_21_234/p2.2.h.txt,125.0,1.6822075843811035,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.3.j.txt,30.0,21.243807911872864,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (1, 3), (3, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_66_234/p5.4.b.txt,50.0,1.1370433568954468,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (1, 1), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_32_234/p1.3.a.txt,30.0,2.4549720287323,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (1, 1), (1, 3), (3, 3), (0, 0)]]",17,136
Instances/Set_32_234/p1.3.k.txt,30.0,2.5614646673202515,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_21_234/p2.4.c.txt,125.0,1.7262861728668213,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (3, 3), (1, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.3.h.txt,30.0,21.206904649734497,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_33_234/p3.3.f.txt,120.0,2.755696415901184,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (11, 17), (11, 14)]]",32,496
Instances/Set_21_234/p2.4.k.txt,125.0,1.6797633171081543,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_21_234/p2.4.i.txt,125.0,1.7208325862884521,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.3.p.txt,50.0,1.1210994720458984,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (1, 1), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_21_234/p2.2.c.txt,125.0,1.7165898084640503,"[[(0, 0), (3, 1), (1, 1), (0, 0)], [(0, 0), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_32_234/p1.2.b.txt,30.0,2.51667582988739,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_102_234/p7.3.q.txt,30.0,21.225600600242615,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_21_234/p2.2.a.txt,125.0,1.8421006202697754,"[[(19, 24), (21, 27), (21, 25), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.2.v.txt,50.0,1.1385691165924072,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_102_234/p7.2.k.txt,30.0,21.21251368522644,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.4.k.txt,30.0,21.32225477695465,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 1), (1, 3), (3, 1), (0, 0)]]",17,136
Instances/Set_32_234/p1.4.f.txt,30.0,2.4933276176452637,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_64_234/p6.2.j.txt,165.0,3.5159695148468018,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_33_234/p3.2.e.txt,120.0,2.7431939840316772,"[[(0, 0), (3, 3), (1, 1), (0, 0)], [(0, 0), (3, 1), (1, 3), (0, 0)]]",17,136
Instances/Set_102_234/p7.3.c.txt,30.0,21.06197762489319,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_66_234/p5.2.x.txt,50.0,1.145472526550293,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (1, 1), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_32_234/p1.4.e.txt,30.0,2.536194324493408,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (3, 1), (1, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_66_234/p5.4.n.txt,50.0,1.123328447341919,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_102_234/p7.2.o.txt,30.0,21.14091145992279,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_66_234/p5.2.m.txt,50.0,1.1689610481262207,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_66_234/p5.3.m.txt,50.0,1.1170967817306519,"[[(10, 14), (11, 12), (8, 13), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_66_234/p5.2.c.txt,50.0,1.1426018476486206,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_33_234/p3.3.r.txt,120.0,2.6579748392105103,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_33_234/p3.4.n.txt,120.0,2.739313006401062,"[[(0, 0), (3, 1), (1, 1), (0, 0)], [(0, 0), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_33_234/p3.2.b.txt,120.0,2.777676224708557,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (1, 1), (3, 3), (3, 1), (0, 0)]]",17,136
Instances/Set_32_234/p1.4.i.txt,30.0,2.497397780418396,"[[(0, 1), (1, 0), (2, 1), (2, 3), (1, 4), (1, 6), (0, 7)], [(0, 1), (1, 2), (3, 4), (3, 6), (2, 7), (0, 7)]]",32,496
Instances/Set_102_234/p7.2.m.txt,30.0,21.50110948085785,"[[(0, 1), (1, 0), (2, 1), (1, 2), (0, 7)], [(0, 1), (2, 3), (3, 4), (3, 6), (2, 7), (0, 7)]]",32,496
Instances/Set_64_234/p6.2.m.txt,165.0,3.310922384262085,"[[(4, 7), (4, 8), (3, 9), (5, 8), (5, 6), (6, 5), (5, 5)], [(4, 7), (6, 7), (7, 8), (8, 9), (5, 5)]]",21,210
Instances/Set_102_234/p7.4.l.txt,30.0,21.202858448028564,"[[(4, 7), (3, 9), (4, 8), (6, 7), (6, 5), (5, 5)], [(4, 7), (5, 8), (8, 9), (7, 8), (5, 6), (5, 5)]]",21,210
Instances/Set_32_234/p1.3.m.txt,30.0,2.495788097381592,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_64_234/p6.2.f.txt,159.0,3.3945170640945435,"[[(0, 0), (3, 3), (1, 1), (0, 0)], [(0, 0), (3, 1), (1, 3), (0, 0)]]",17,136
Instances/Set_64_234/p6.2.e.txt,168.0,3.4669262170791626,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.2.e.txt,50.0,1.097220778465271,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.4.q.txt,50.0,1.1386961936950684,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_64_234/p6.3.m.txt,168.0,3.4931838512420654,"[[(19, 24), (21, 25), (21, 27), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_33_234/p3.3.o.txt,120.0,2.767194151878357,"[[(19, 24), (21, 25), (21, 27), (18, 25), (18, 24)], [(19, 24), (18, 26), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_21_234/p2.2.f.txt,125.0,1.7674227952957153,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_102_234/p7.4.b.txt,30.0,21.11708927154541,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_33_234/p3.3.l.txt,120.0,2.7411630153656006,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_33_234/p3.4.p.txt,120.0,2.695103168487549,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_102_234/p7.2.p.txt,30.0,21.201611638069153,"[[(35, 35), (37, 31), (35, 35)], [(35, 35), (35, 40), (35, 35)]]",101,5050
Instances/Set_64_234/p6.3.n.txt,168.0,3.436759114265442,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_66_234/p5.2.y.txt,50.0,1.135347843170166,"[[(19, 24), (21, 25), (21, 27), (18, 26), (18, 25), (18, 24)], [(19, 24), (17, 28), (16, 28), (18, 24)]]",31,465
Instances/Set_64_234/p6.4.h.txt,165.0,3.3095232248306274,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (1, 1), (3, 1), (3, 3), (0, 0)]]",17,136
Instances/Set_64_234/p6.2.g.txt,165.0,3.3451433181762695,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (3, 3), (1, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_32_234/p1.3.d.txt,30.0,2.444132447242737,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (3, 1), (1, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.3.f.txt,30.0,21.07188880443573,"[[(0, 0), (3, 3), (0, 0)], [(0, 0), (1, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_64_234/p6.4.i.txt,162.0,3.473071336746216,"[[(0, 0), (1, 3), (1, 1), (0, 0)], [(0, 0), (3, 3), (3, 1), (0, 0)]]",17,136
Instances/Set_66_234/p5.4.z.txt,50.0,1.1012933254241943,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (3, 1), (3, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.3.r.txt,30.0,21.06541621685028,"[[(0, 0), (3, 3), (1, 1), (0, 0)], [(0, 0), (1, 3), (3, 1), (0, 0)]]",17,136
